url,title,publish_date,price,price_per_sqm,usable_area,bedroom,restroom,coords,full_address,sub_district,district,province,postcode,latitude,longitude
https://www.ddproperty.com/property/the-address-sathorn-ดิ-แอดเดรส-สาทร-ขาย-60150708,"The Address Sathorn : ดิ แอดเดรส สาทร, กรุงเทพ",2025-11-25,13500000.0,192253.0,70.0,2.0,2.0,"13.7262342,100.5281305","98 ถนนสาทรเหนือ ซอยสาทร 12 แขวงสีลม เขตบางรัก กรุงเทพมหานคร, สีลม, บางรัก, กรุงเทพ",สีลม,บางรัก,กรุงเทพมหานคร,10500,13.7262342,100.5281305
https://www.ddproperty.com/property/the-address-sathorn-ดิ-แอดเดรส-สาทร-ขาย-60167601,"The Address Sathorn : ดิ แอดเดรส สาทร, กรุงเทพ",2025-11-25,15000000.0,227273.0,66.0,2.0,2.0,"13.7262342,100.5281305","98 ถนนสาทรเหนือ ซอยสาทร 12 แขวงสีลม เขตบางรัก กรุงเทพมหานคร, สีลม, บางรัก, กรุงเทพ",สีลม,บางรัก,กรุงเทพมหานคร,10500,13.7262342,100.5281305
https://www.ddproperty.com/property/the-address-sathorn-ดิ-แอดเดรส-สาทร-ขาย-60167593,"The Address Sathorn : ดิ แอดเดรส สาทร, กรุงเทพ",2025-11-25,13000000.0,173333.0,75.0,2.0,2.0,"13.7262342,100.5281305","98 ถนนสาทรเหนือ ซอยสาทร 12 แขวงสีลม เขตบางรัก กรุงเทพมหานคร, สีลม, บางรัก, กรุงเทพ",สีลม,บางรัก,กรุงเทพมหานคร,10500,13.7262342,100.5281305
https://www.ddproperty.com/property/the-address-sathorn-ดิ-แอดเดรส-สาทร-ขาย-11753728,"The Address Sathorn : ดิ แอดเดรส สาทร, กรุงเทพ",2025-11-25,6490000.0,139091.0,47.0,1.0,1.0,"13.7262342,100.5281305","98 ถนนสาทรเหนือ ซอยสาทร 12 แขวงสีลม เขตบางรัก กรุงเทพมหานคร, สีลม, บางรัก, กรุงเทพ",สีลม,บางรัก,กรุงเทพมหานคร,10500,13.7262342,100.5281305
https://www.ddproperty.com/property/vertiq-rama-4-siam-เวอร์ทิค-พระราม-4-สยาม-ขาย-11779933,"Vertiq Rama 4-Siam : เวอร์ทิค พระราม 4-สยาม, กรุงเทพ",2025-11-26,6900000.0,119896.0,58.0,2.0,2.0,"13.7325418,100.5287109","188 ถนนสี่พระยา, มหาพฤฒาราม, บางรัก, กรุงเทพ",มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,10500,13.7325418,100.5287109
https://www.ddproperty.com/property/state-tower-อาคารสเตททาวเวอร์-ขาย-11819055,"State Tower : อาคารสเตททาวเวอร์, กรุงเทพ",2025-11-25,7200000.0,105882.0,68.0,2.0,1.0,"13.7215136,100.516885","1055 ถนนสีลม, สีลม, บางรัก, กรุงเทพ",สีลม,บางรัก,กรุงเทพมหานคร,10500,13.7215136,100.516885
https://www.ddproperty.com/property/ashton-chula-silom-แอชตัน-จุฬา-สีลม-ขาย-11880173,"ASHTON Chula-Silom : แอชตัน จุฬา-สีลม, กรุงเทพ",2025-11-25,8800000.0,258824.0,34.0,1.0,1.0,"13.7303888,100.5182485","ถนนพระราม 4 แขวงบางรัก เขต บางรัก กรุงเทพมหานคร 10500, สี่พระยา, บางรัก, กรุงเทพ",สี่พระยา,บางรัก,กรุงเทพมหานคร,10500,13.7303888,100.5182485
https://www.ddproperty.com/property/life-sathorn-10-ไลฟ์-แอท-สาทร-10-ขาย-11879665,"Life @ Sathorn 10 : ไลฟ์ แอท สาทร 10, กรุงเทพ",2025-11-25,7000000.0,175000.0,40.0,1.0,1.0,"13.7262342,100.5281305","48 ซอยสาทร 10 ถนนสาทร, สีลม, บางรัก, กรุงเทพ",สีลม,บางรัก,กรุงเทพมหานคร,10500,13.7262342,100.5281305
https://www.ddproperty.com/property/dusit-central-park-residences-ดุสิต-เซ็นทรัลพาร์ค-ขาย-60081741,"Dusit Central Park (Residences) : ดุสิต เซ็นทรัลพาร์ค, กรุงเทพ",2025-11-25,28900000.0,439611.0,66.0,1.0,1.0,"13.7262342,100.5281305","946 ถนนพระราม 4, สีลม, บางรัก, กรุงเทพ",สีลม,บางรัก,กรุงเทพมหานคร,10500,13.7262342,100.5281305
https://www.ddproperty.com/property/the-address-sathorn-ดิ-แอดเดรส-สาทร-ขาย-11879304,"The Address Sathorn : ดิ แอดเดรส สาทร, กรุงเทพ",2025-11-25,15965000.0,210066.0,76.0,2.0,2.0,"13.7262342,100.5281305","98 ถนนสาทรเหนือ ซอยสาทร 12 แขวงสีลม เขตบางรัก กรุงเทพมหานคร, สีลม, บางรัก, กรุงเทพ",สีลม,บางรัก,กรุงเทพมหานคร,10500,13.7262342,100.5281305
